Simplified	Traditional	Pinyin	English	collocation	frequency	rank	level
枚		méi	for coins, rings, badges, pearls, sporting medals, rockets, satellites etc	大炮  火箭 奖章 戒指 硬币	8270	1884	C
滴		dī	a drip	汗 酒 墨水 眼泪 药 雨	8104	1896	B1
匹		pǐ	measure word for horses, mules, bolts of cloth, etc	布 绸子 缎子 骆驼 骡子 马	8025	1908	B2
碗		wǎn	bowl	豆浆 米饭 汤 豌豆 粥	7773	1939	A
窝	窩	wō	litter / brood	狗 坏蛋 流氓 蚂蚁 蜜蜂 兔子	7456	1962	C
扇		shàn	measure word for panels, fans, doors, windows etc	窗 窗户 窗口 门	7125	1993	B2
泡		pāo	measure word for urine or feces	尿 屎	7046	2000	C
杆	桿	gǎn	measure word for stick like things	秤 旗 旗帜	6944	2011	C
滩	灘	tān	beach / shoal	泥 泥土 水 血	6550	2062	C
棵		kē	measure word for for trees, cabbages, plants, etc	白菜 果树 核桃 柳树 桃树	6159	2108	B2
摊	攤	tān	a measure word for paste-like substances	泥 牛粪 血	5798	2154	B2
柄		bǐng	a measure word for things with handles	刀	5229	2241	C
堵		dǔ	measure word for walls	墙	4960	2284	C
桶		tǒng	bucket / can / barrel	柴油 沥青 石油 原油	4167	2411	B2
轴	軸	zhóu	roll / spool	画 线	4011	2438	C
丸		wán	pill	药	3847	2462	C
株		zhū	a measure word for trees and plants	草 稻子 菊 苗 水稻	3771	2482	C
桩	樁	zhuāng	measure word for conditions, etc	案件 案情 大事 喜事	3746	2491	C
壶	壺	hú	pot	茶 开水	3652	2518	B2
幢		chuáng/ zhuàng	measure word for buildings	大厦 房子 楼房	3376	2566	C
捆		kǔn	bunch / bundle	报纸 柴火 葱 芹菜 青菜 书	3079	2640	B2
绞	絞	jiǎo	a skein	毛线 纱	2963	2672	C
茎	莖	jīng	a measure word for strip shaped things	白发 草	2956	2675	C
栋	棟	dòng	measure word for buildings	大厦 房子 楼房 平房	2830	2710	B2
盏	盞	zhǎn	a measure word for lights	灯 灯笼 电灯	2486	2803	C
撇		piě	measure word for eye brows and beards	胡子	2219	2882	C
缕	縷	lǚ	strand / thread	胡子 麻 丝 头发 烟	2181	2894	C
簇		cù	cluster / bunch	鲜花	2173	2896	C
瓣		bàn	section	橘子	2127	2915	C
勺		sháo	spoonfull	蜜 汤	1357	3275	B2
撮		cuō	a little bit	土	1049	3485	C
摞		luò	pile	书 碗 箱子 砖	417	4299	C
坨		tuó	lump	泥 泥土	100	5617	C
